L,S
1563,302
1354,363
12341,441
2384,318
2950,380
924,805
1430,693
6157,307
1372,727
2443,934
630,741
2428,937
1934,934
3274,559
8475,598
1947,339
690,656
2081,567
4640,763
18244,311
1488,392
230,675
7371,494
1021,568
6300,403
798,999
1114,390
11422,491
1839,408
10803,574
920,426
711,498
6759,337
2192,478
4375,492
8666,318
1537,331
6994,676
4759,502
103,739
4663,680
1604,508
19070,369
4203,480
1328,887
10437,379
407,332
4712,672
1280,715
7697,623
6558,559
8366,323
501,367
5251,841
2900,658
3945,467
13352,307
2343,845
6661,468
2010,343
4469,934
3776,950
6776,373
743,858
4036,890
4122,854
2391,574
3663,718
429,536
7920,452
1407,662
6769,414
1919,915
4001,763
1954,326
360,433
2188,647
9883,549
4247,716
425,697
6420,499
365,841
7434,404
4234,639
5125,381
4519,422
4314,677
5663,555
7614,413
2363,843
13189,585
6910,561
5060,503
2036,896
1545,966
11882,379
2859,611
289,461
1536,770
6337,494
91,785
3223,994
3881,392
1660,617
1008,478
798,492
9873,404
549,839
3931,612
5125,560
11302,659
8776,618
937,728
2109,658
3936,896
403,691
1150,429
5205,440
6881,607
5363,427
3002,518
10285,911
820,609
4077,527
18,379
35,384
111,785
5161,884
4101,451
3820,559
3814,340
15737,324
1513,809
6798,431
1788,976
1903,912
4984,377
4309,606
8509,339
6894,305
4955,390
5744,354
7389,502
2287,933
11619,382
7797,355
8551,490
372,405
1117,812
3623,524
3682,305
1575,757
11911,645
1495,642
3724,675
7029,736
5114,683
6312,537
3160,383
2027,550
1444,903
5187,417
1541,783
8345,530
13738,624
4048,949
13772,326
3862,336
3229,766
3169,499
4332,516
1402,815
2194,809
1617,304
8549,533
3890,872
12270,401
6476,386
5350,345
3515,459
1757,834
9582,427
1687,497
3204,542
6197,557
1669,538
705,777
1288,565
1294,477
9132,452
8896,405
53,550
6860,470
423,331
1139,418
1252,475
4691,568
2464,732
16367,329
9806,474
3140,765
19692,367
1819,537
4805,408
5237,464
2630,993
5669,461
303,719
9723,622
4740,384
6378,478
3846,565
